"parameter_stable_id","categories"
"ESLIM_001_001_147","bilaterally increased thickness,as described for wt,left hand digit decreased thickness,right hand digit decreased thickness,bilaterally decreased thickness,left hand digit increased thickness,right hand digit increased thickness"
"ESLIM_001_001_148","present,left hand digit absent,right hand digit absent,bilaterally absent"
"ESLIM_001_001_149","as described for wt,left hand digit swollen,right hand digit swollen,bilaterally swollen"
"ESLIM_001_001_150","wt distribution,left hand digit length increased,right hand digit length increased,bilaterally length increased,left hand digit length decreased,right hand digit length decreased,bilaterally length decreased"
"ESLIM_001_001_151","as described for wt,left hindlimb abnormal,right hindlimb abnormal,bilaterally abnormal"
"ESLIM_001_001_153","wt distribution,left hindlimb increased size,right hindlimb increased size,bilaterally increased size,left hindlimb decreased size,right hindlimb decreased size,bilaterally decreased size"
"ESLIM_001_001_154","as described for wt,left hindlimb abnormal,right hindlimb abnormal,bilaterally abnormal"
"ESLIM_001_001_155","left hindlimb inflexible,right hindlimb inflexible,bilaterally inflexible,as described for wt"
"ESLIM_001_001_156","wt distribution,left hindlimb increased length,right hindlimb increased length,bilaterally increased length,left hindlimb decreased length,right hindlimb decreased length,bilaterally decreased length"
"ESLIM_001_001_157","bilaterally decreased thickness,as described for wt,left hindlimb increased thickness,right hindlimb increased thickness,bilaterally increased thickness,left hindlimb decreased thickness,right hindlimb decreased thickness"
"ESLIM_001_001_158","as described for wt,left hindlimb abnormal,right hindlimb abnormal,bilaterally abnormal"
"ESLIM_001_001_159","as described for wt,left hindlimb joint swollen,right hindlimb joint swollen,bilaterally swollen"
"ESLIM_001_001_160","as described for wt,left foot abnormal,right foot abnormal,bilaterally abnormal"
"ESLIM_001_001_161","bilaterally decreased size,left foot increased size,right foot increased size,bilaterally increased size,wt distribution,left foot decreased size,right foot decreased size"
"ESLIM_001_001_162","wt distribution,left foot decreased length,right foot decreased length,bilaterally decreased length,left foot increased length,right foot increased length,bilaterally increased length"
"ESLIM_001_001_163","as described for wt,left foot swollen,right foot swollen,bilaterally swollen"
"ESLIM_001_001_164","left foot footpad swollen,right foot footpad swollen,bilaterally swollen,as described for wt"
"ESLIM_001_001_165","as described for wt,left foot digit decreased number,right foot digit decreased number,bilaterally decreased number,left foot digit increased number,right foot digit increased number,bilaterally increased number"
"ESLIM_001_001_166","bilaterally increased thickness,as described for wt,left foot digit decreased thickness,right foot digit decreased thickness,bilaterally decreased thickness,left foot digit increased thickness,right foot digit increased thickness"
"ESLIM_001_001_167","present,left foot digit absent,right foot digit absent,bilaterally absent"
"ESLIM_001_001_168","as described for wt,left foot digit swollen,right foot digit swollen,bilaterally swollen"
"ESLIM_001_001_169","wt distribution,left foot digit length increased,right foot digit length increased,bilaterally length increased,left foot digit length decreased,right foot digit length decreased,bilaterally length decreased"
"ESLIM_001_001_170","present,left nail absent,right nail absent,bilaterally absent"
"ESLIM_001_001_171","wt distribution,left nail increased length,right nail increased length,bilaterally increased length"
"ESLIM_001_001_172","as described for wt,left nail straight angle,right nail straight angle,bilaterally straight angle"
"ESLIM_001_001_173","as described for wt,left nail curved,right nail curved,bilaterally curved"
"ESLIM_001_001_174","as described for wt,left nail dark,right nail dark,bilaterally dark,left nail light,right nail light,bilaterally light"
"ESLIM_001_001_175","as described for wt,abnormal"
"ESLIM_001_001_177","present,absent"
"ESLIM_001_001_178","wt distribution,decreased length,increased length"
"ESLIM_001_001_179","increased width,wt distribution,decreased width"
"ESLIM_001_001_180","as described for wt,kinked"
"ESLIM_001_001_181","as described for wt,curved"
"ESLIM_006_001_001","imageOnly,normal,abnormal"
"ESLIM_006_001_002","imageOnly,yes,no"
"ESLIM_006_001_003","yes,no,imageOnly"
"ESLIM_006_001_004","34,35,36,37,2,38,39,40,3,4,5,6,7,imageOnly,8,9,10,11,12,13,14,15,16,17,total number,0,18,19,20,21,22,23,24,25,26,27,1,28,29,30,31,32,33"
"ESLIM_006_001_005","imageOnly,normal,abnormal"
"ESLIM_006_001_006","imageOnly,normal,abnormal"
"ESLIM_006_001_007","imageOnly,normal,abnormal"
"ESLIM_006_001_008","imageOnly,normal,abnormal"
"ESLIM_006_001_009","imageOnly,normal,abnormal"
"ESLIM_006_001_010","imageOnly,normal,abnormal"
"ESLIM_006_001_011","normal,abnormal,imageOnly"
"ESLIM_006_001_012","imageOnly,normal,abnormal"
"ESLIM_006_001_013","imageOnly,normal,abnormal"
"ESLIM_006_001_014","imageOnly,fused,not fused"
"ESLIM_006_001_015","26,1,2,3,4,5,6,7,imageOnly,8,9,10,11,12,13,14,15,16,17,number,0,18,19,20,21,22,23,24,25"
"ESLIM_006_001_016","imageOnly,8,9,10,11,12,13,14,15,16,17,number,0,18,19,20,21,22,23,24,25,26,1,2,3,4,5,6,7"
"ESLIM_006_001_017","imageOnly,normal,abnormal"
"ESLIM_006_001_018","imageOnly,normal,abnormal"
"ESLIM_006_001_019","imageOnly,normal,abnormal"
"ESLIM_006_001_020","no syndactylism,imageOnly,syndactylism"
"ESLIM_006_001_021","imageOnly,normal,abnormal"
"ESLIM_006_001_022","imageOnly,normal,abnormal"
"ESLIM_006_001_023","imageOnly,normal,abnormal"
"ESLIM_006_001_024","13,14,15,16,17,number,0,18,19,20,21,22,23,24,25,26,27,1,28,29,30,31,32,33,34,35,36,37,2,38,39,40,41,42,43,44,45,46,47,3,48,49,50,51,52,53,54,55,56,4,5,6,7,imageOnly,8,9,10,11,12"
"ESLIM_006_001_025","2,3,4,5,6,7,imageOnly,8,9,10,11,12,13,14,number,0,1"
"ESLIM_006_001_026","imageOnly,yes,no"
"ESLIM_006_001_027","imageOnly,8,9,10,11,12,0,number,1,2,3,4,5,6,7"
"ESLIM_006_001_028","5,6,7,imageOnly,8,number,0,1,2,3,4"
"ESLIM_006_001_029","imageOnly,normal,abnormal"
"ESLIM_006_001_030","imageOnly,normal,abnormal"
"ESLIM_006_001_031","2,3,4,5,6,7,imageOnly,8,9,10,11,12,13,14,15,16,17,0,number,18,19,20,21,22,23,24,25,26,1"
"ESLIM_006_001_034","yes,no"
"ESLIM_020_001_004","yes,no"
"ESLIM_020_001_007","yes,no"
"ESLIM_013_001_001","normal,abnormal"
"ESLIM_013_001_003","normal,abnormal,no data"
"ESLIM_013_001_004","abnormal,not defined,no data,normal"
"ESLIM_013_001_005","normal,degenerate,not defined,no data"
"ESLIM_013_001_006","normal,abnormal,not defined,no data"
"ESLIM_013_001_007","normal,abnormal,no data"
"ESLIM_013_001_008","not defined,no data,normal,abnormal"
"ESLIM_013_001_009","normal,degenerate,not defined,no data"
"ESLIM_013_001_010","normal,abnormal,not defined,no data"
"ESLIM_013_001_011","normal,abnormal,no data"
"ESLIM_013_001_012","no data,normal appearance,abnormal appearance,not defined"
"ESLIM_013_001_013","normal,abnormal,not defined,no data"
"ESLIM_013_001_014","normal,abnormal,no data"
"ESLIM_013_001_015","normal appearance,abnormal appearance,not defined,no data"
"ESLIM_013_001_016","normal,abnormal,not defined,no data"
"ESLIM_014_001_001","normal,abnormal,left eye absent,right eye absent,bilaterally absent"
"ESLIM_014_001_003","bilaterally increased size,not defined,no data,normal,left eye decreased size,right eye decreased size,bilaterally decreased size,left eye increased size,right eye increased size"
"ESLIM_014_001_004","absent,left eye present,right eye present,bilaterally present,not defined,no data"
"ESLIM_014_001_005","normal,left eye closed,right eye closed,bilaterally closed,left eye closure incomplete,right eye closure incomplete,closure incomplete bilaterally"
"ESLIM_014_001_006","normal,left eye abnormal,right eye abnormal,bilaterally abnormal"
"ESLIM_014_001_007","normal,left eye opaque,right eye opaque,bilaterally opaque,not defined,no data"
"ESLIM_014_001_008","absent,left eye present,right eye present,bilaterally present,not defined,no data"
"ESLIM_014_001_009","normal,left eye abnormal,right eye abnormal,bilaterally abnormal"
"ESLIM_014_001_010","normal,left eye opaque,right eye opaque,bilaterally opaque,not defined,no data"
"ESLIM_014_001_011","normal,right eye abnormal,left eye abnormal,bilaterally abnormal"
"ESLIM_014_001_012","right eye abnormal,bilaterally abnormal,not defined,no data,normal,left eye abnormal"
"ESLIM_014_001_013","normal,left eye abnormal,right eye abnormal,bilaterally abnormal,left eye dilated,right eye dilated,bilaterally dilated,not defined,no data"
"ESLIM_014_001_014","bilaterally abnormal,no data,normal,left eye abnormal,right eye abnormal"
"ESLIM_014_001_015","normal,left eye abnormal,right eye abnormal,bilaterally abnormal,not defined,no data"
"ESLIM_008_001_001","0,1,2"
"ESLIM_008_001_002","1,0"
"ESLIM_008_001_003","0,1"
"ESLIM_008_001_004","0,1"
"ESLIM_008_001_005","0,1"
"ESLIM_008_001_006","0,1"
"ESLIM_008_001_007","0,1,2"
"ESLIM_008_001_009","0,1,2"
"ESLIM_008_001_011","1,2,0"
"ESLIM_008_001_012","0,1,2,3"
"ESLIM_008_001_013","0,1,2"
"ESLIM_008_001_014","0,1,2"
"ESLIM_008_001_015","0,1,2,3"
"ESLIM_008_001_016","0,1"
"ESLIM_008_001_017","0,1"
"ESLIM_008_001_018","0,1"
"ESLIM_008_001_019","0,1"
"ESLIM_008_001_020","0,1"
"ESLIM_008_001_021","0,1"
"ESLIM_008_001_022","0,1"
"ESLIM_012_001_002","shake,lick,jump,locomotion,no reaction,other"
"GMC_925_001_001","imageOnly,normal,abnormal"
"GMC_925_001_002","imageOnly,yes,no"
"GMC_925_001_003","imageOnly,yes,no"
"GMC_925_001_004","imageOnly,8,9,10,11,12,13,14,15,16,17,total number,0,18,19,20,21,22,23,24,25,26,27,1,28,29,30,31,32,33,34,35,36,37,2,38,39,40,3,4,5,6,7"
"GMC_925_001_005","imageOnly,normal,abnormal"
"GMC_925_001_006","imageOnly,normal,abnormal"
"GMC_925_001_007","imageOnly,normal,abnormal"
"GMC_925_001_008","imageOnly,normal,abnormal"
"GMC_925_001_009","imageOnly,normal,abnormal"
"GMC_925_001_010","imageOnly,normal,abnormal"
"GMC_925_001_011","imageOnly,normal,abnormal"
"GMC_925_001_012","imageOnly,normal,abnormal"
"GMC_925_001_013","imageOnly,normal,abnormal"
"GMC_925_001_014","imageOnly,fused,not fused"
"GMC_925_001_015","imageOnly,8,9,10,11,12,13,14,15,16,17,number,0,18,19,20,21,22,23,24,25,26,1,2,3,4,5,6,7"
"GMC_925_001_016","25,26,1,2,3,4,5,6,7,imageOnly,8,9,10,11,12,13,14,15,16,17,number,0,18,19,20,21,22,23,24"
"GMC_925_001_017","imageOnly,normal,abnormal"
"GMC_925_001_018","imageOnly,normal,abnormal"
"GMC_925_001_019","normal,abnormal,imageOnly"
"GMC_925_001_020","imageOnly,syndactylism,no syndactylism"
"GMC_925_001_021","imageOnly,normal,abnormal"
"GMC_925_001_022","imageOnly,normal,abnormal"
"GMC_925_001_023","imageOnly,normal,abnormal"
"GMC_925_001_024","imageOnly,8,9,10,11,12,13,14,15,16,17,number,0,18,19,20,21,22,23,24,25,26,27,1,28,29,30,31,32,33,34,35,36,37,2,38,39,40,41,42,43,44,45,46,47,3,48,49,50,51,52,53,54,55,56,4,5,6,7"
"GMC_925_001_025","14,number,0,1,2,3,4,5,6,7,imageOnly,8,9,10,11,12,13"
"GMC_925_001_026","imageOnly,yes,no"
"GMC_925_001_027","imageOnly,8,9,10,11,12,number,0,1,2,3,4,5,6,7"
"GMC_925_001_028","1,2,3,4,5,6,7,imageOnly,8,number,0"
"GMC_925_001_029","imageOnly,normal,abnormal"
"GMC_925_001_030","imageOnly,normal,abnormal"
"GMC_925_001_031","imageOnly,8,9,10,11,12,13,14,15,16,17,number,0,18,19,20,21,22,23,24,25,26,1,2,3,4,5,6,7"
"GMC_925_001_034","yes,no"
"GMC_914_001_023","yes,no"
"GMC_914_001_024","yes,no"
"M-G-P_008_001_001","0,1,2"
"M-G-P_008_001_002","0,1"
"M-G-P_008_001_003","0,1"
"M-G-P_008_001_004","0,1"
"M-G-P_008_001_005","0,1"
"M-G-P_008_001_006","0,1"
"M-G-P_008_001_007","0,1,2"
"M-G-P_008_001_009","0,1,2"
"M-G-P_008_001_011","0,1,2"
"M-G-P_008_001_012","0,1,2,3"
"M-G-P_008_001_013","0,1,2"
"M-G-P_008_001_014","0,1,2"
"M-G-P_008_001_015","0,1,2,3"
"M-G-P_008_001_016","0,1"
"M-G-P_008_001_017","0,1"
"M-G-P_008_001_018","0,1"
"M-G-P_008_001_019","1,0"
"M-G-P_008_001_020","0,1"
"M-G-P_008_001_021","0,1"
"M-G-P_008_001_022","0,1"
"M-G-P_012_001_002","shake,lick,jump,locomotion,no reaction,other"
"M-G-P_026_001_001","Normal,Abnormal"
"M-G-P_026_001_002","Normal,Abnormal"
"M-G-P_026_001_003","Present,Absent"
"M-G-P_026_001_004","Normal,Abnormal"
"M-G-P_026_001_005","Normal,Abnormal"
"M-G-P_026_001_006","Normal,Abnormal"
"M-G-P_026_001_007","Normal,Abnormal"
"M-G-P_026_001_008","Normal,Abnormal"
"M-G-P_026_001_009","Normal,Abnormal"
"M-G-P_026_001_010","Normal,Abnormal"
"M-G-P_026_001_011","Normal,Abnormal"
"M-G-P_026_001_012","Normal,Abnormal"
"M-G-P_026_001_013","Normal,Abnormal"
"M-G-P_026_001_014","Normal,Abnormal"
"M-G-P_026_001_015","Normal,Abnormal"
"M-G-P_026_001_016","Normal,Abnormal"
"M-G-P_026_001_017","Present,Absent"
"M-G-P_026_001_018","Normal,Abnormal"
"M-G-P_026_001_019","Normal,Abnormal"
"M-G-P_026_001_020","Normal,Abnormal"
"M-G-P_026_001_021","Normal,Abnormal"
"M-G-P_026_001_022","Normal,Abnormal"
"M-G-P_026_001_023","Normal,Abnormal"
"M-G-P_026_001_024","Normal,Abnormal"
"M-G-P_026_001_025","Normal,Abnormal"
"M-G-P_026_001_026","Normal,Abnormal"
"M-G-P_026_001_027","Normal,Abnormal"
"M-G-P_026_001_028","Present,Absent"
"M-G-P_026_001_029","Normal,Abnormal"
"M-G-P_026_001_030","Normal,Abnormal"
"M-G-P_026_001_031","Normal,Abnormal"
"M-G-P_026_001_032","Normal,Abnormal"
"M-G-P_006_001_001","imageOnly,normal,abnormal"
"M-G-P_006_001_002","imageOnly,yes,no"
"M-G-P_006_001_003","imageOnly,yes,no"
"M-G-P_006_001_004","14,15,16,17,total number,0,18,19,20,21,22,23,24,25,26,27,1,28,29,30,31,32,33,34,35,36,37,2,38,39,40,3,4,5,6,7,imageOnly,8,9,10,11,12,13"
"M-G-P_006_001_005","imageOnly,normal,abnormal"
"M-G-P_006_001_006","imageOnly,normal,abnormal"
"M-G-P_006_001_007","imageOnly,normal,abnormal"
"M-G-P_006_001_008","imageOnly,normal,abnormal"
"M-G-P_006_001_009","imageOnly,normal,abnormal"
"M-G-P_006_001_010","imageOnly,normal,abnormal"
"M-G-P_006_001_011","imageOnly,normal,abnormal"
"M-G-P_006_001_012","imageOnly,normal,abnormal"
"M-G-P_006_001_013","imageOnly,normal,abnormal"
"M-G-P_006_001_014","fused,not fused,imageOnly"
"M-G-P_006_001_015","imageOnly,8,9,10,11,12,13,14,15,16,17,number,0,18,19,20,21,22,23,24,25,26,1,2,3,4,5,6,7"
"M-G-P_006_001_016","imageOnly,8,9,10,11,12,13,14,15,16,17,number,0,18,19,20,21,22,23,24,25,26,1,2,3,4,5,6,7"
"M-G-P_006_001_017","imageOnly,normal,abnormal"
"M-G-P_006_001_018","normal,abnormal,imageOnly"
"M-G-P_006_001_019","imageOnly,normal,abnormal"
"M-G-P_006_001_020","imageOnly,syndactylism,no syndactylism"
"M-G-P_006_001_021","imageOnly,normal,abnormal"
"M-G-P_006_001_022","imageOnly,normal,abnormal"
"M-G-P_006_001_023","abnormal,imageOnly,normal"
"M-G-P_006_001_024","49,50,51,52,53,54,55,56,4,5,6,7,imageOnly,8,9,10,11,12,13,14,15,16,17,number,0,18,19,20,21,22,23,24,25,26,27,1,28,29,30,31,32,33,34,35,36,37,2,38,39,40,41,42,43,44,45,46,47,3,48"
"M-G-P_006_001_025","imageOnly,8,9,10,11,12,13,14,number,0,1,2,3,4,5,6,7"
"M-G-P_006_001_026","imageOnly,yes,no"
"M-G-P_006_001_027","imageOnly,8,9,10,11,12,number,0,1,2,3,4,5,6,7"
"M-G-P_006_001_028","imageOnly,8,decreased thickness,number,0,1,2,as described for wt,3,abnormal,4,wt distribution,5,decreased length,6,increased length,7"
"M-G-P_006_001_029","imageOnly,normal,abnormal"
"M-G-P_006_001_030","imageOnly,normal,abnormal"
"M-G-P_006_001_031","imageOnly,8,9,10,11,12,13,14,15,16,17,number,0,18,19,20,21,22,23,24,25,26,1,2,3,4,5,6,7"
"M-G-P_014_001_001","normal,abnormal,left eye absent,right eye absent,bilaterally absent"
"M-G-P_014_001_003","no data,normal,left eye decreased size,right eye decreased size,bilaterally decreased size,left eye increased size,right eye increased size,bilaterally increased size,not defined"
"M-G-P_014_001_004","absent,left eye present,right eye present,bilaterally present,not defined,no data"
"M-G-P_014_001_005","normal,left eye closed,right eye closed,bilaterally closed,left eye closure incomplete,right eye closure incomplete,closure incomplete bilaterally"
"M-G-P_014_001_006","right eye abnormal,bilaterally abnormal,normal,left eye abnormal"
"M-G-P_014_001_007","normal,left eye opaque,right eye opaque,bilaterally opaque,not defined,no data"
"M-G-P_014_001_008","absent,left eye present,right eye present,bilaterally present,not defined,no data"
"M-G-P_014_001_009","right eye abnormal,bilaterally abnormal,normal,left eye abnormal"
"M-G-P_014_001_010","normal,left eye opaque,right eye opaque,bilaterally opaque,not defined,no data"
"M-G-P_014_001_011","normal,right eye abnormal,left eye abnormal,bilaterally abnormal"
"M-G-P_014_001_012","not defined,no data,normal,left eye abnormal,right eye abnormal,bilaterally abnormal"
